id,listing_url,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,review_scores_rating,review_scores_value
1146389618049783556,https://www.airbnb.com/rooms/1146389618049783556,Ipanema,-22.9841418,-43.203935,Entire home/apt,4,2.5,2.0,3.0,760.0,5.0,4.83
1056535444336426904,https://www.airbnb.com/rooms/1056535444336426904,Copacabana,-22.9707463,-43.1864773,Entire home/apt,2,0.0,1.0,1.0,222.0,5.0,5.0
1345182752518470767,https://www.airbnb.com/rooms/1345182752518470767,Copacabana,-22.97552,-43.1878,Entire home/apt,4,1.0,1.0,2.0,286.0,5.0,5.0
54214812,https://www.airbnb.com/rooms/54214812,Barra da Tijuca,-23.01051445338544,-43.42930865089895,Private room,2,1.0,1.0,1.0,400.0,,
1093339730332271969,https://www.airbnb.com/rooms/1093339730332271969,Copacabana,-22.96582823125852,-43.17778540264488,Entire home/apt,14,2.0,1.0,3.0,950.0,5.0,5.0
1331829983965828607,https://www.airbnb.com/rooms/1331829983965828607,Barra da Tijuca,-23.01085,-43.3563,Entire home/apt,3,1.0,1.0,1.0,539.0,,
1303177726296451680,https://www.airbnb.com/rooms/1303177726296451680,Copacabana,-22.974756577581363,-43.18744434922906,Entire home/apt,6,2.0,2.0,3.0,456.0,4.81,4.85
1024624176311730090,https://www.airbnb.com/rooms/1024624176311730090,Copacabana,-22.96278,-43.17571,Entire home/apt,4,1.0,1.0,2.0,247.0,5.0,5.0
1377544801494644478,https://www.airbnb.com/rooms/1377544801494644478,Copacabana,-22.965609709701937,-43.18265510994127,Entire home/apt,4,1.0,1.0,1.0,268.0,5.0,5.0
32546314,https://www.airbnb.com/rooms/32546314,Barra da Tijuca,-23.00997,-43.36392,Entire home/apt,5,1.0,1.0,1.0,300.0,4.83,4.69
1342895235653778368,https://www.airbnb.com/rooms/1342895235653778368,Recreio dos Bandeirantes,-23.03083,-43.48216,Entire home/apt,2,1.0,1.0,1.0,175.0,5.0,5.0
1209570471449092365,https://www.airbnb.com/rooms/1209570471449092365,Leblon,-22.9843726,-43.221799,Entire home/apt,4,1.5,2.0,2.0,389.0,4.4,4.5
37496963,https://www.airbnb.com/rooms/37496963,Jacarepaguá,-22.96554,-43.36694,Entire home/apt,6,3.0,3.0,3.0,850.0,4.8,4.48
1354502050391437538,https://www.airbnb.com/rooms/1354502050391437538,Copacabana,-22.962183175353093,-43.174479706576925,Entire home/apt,4,1.0,1.0,2.0,216.0,5.0,5.0
1283177901479245764,https://www.airbnb.com/rooms/1283177901479245764,Camorim,-22.981649170729785,-43.42182096464363,Entire home/apt,3,1.0,1.0,1.0,160.0,4.86,4.92
985734215103976004,https://www.airbnb.com/rooms/985734215103976004,Jacarepaguá,-22.9671277598098,-43.39685733704407,Entire home/apt,2,1.0,1.0,2.0,413.0,4.17,4.17
53742822,https://www.airbnb.com/rooms/53742822,Copacabana,-22.97031,-43.19027,Entire home/apt,2,1.0,1.0,1.0,174.0,4.84,4.68
1371684753645380746,https://www.airbnb.com/rooms/1371684753645380746,Barra da Tijuca,-23.01002,-43.33466,Entire home/apt,4,1.0,1.0,2.0,315.0,5.0,5.0
1401730181379652936,https://www.airbnb.com/rooms/1401730181379652936,Jacarepaguá,-22.96785,-43.39369,Entire home/apt,5,1.5,2.0,5.0,880.0,,
771176838193000635,https://www.airbnb.com/rooms/771176838193000635,Ipanema,-22.986533,-43.1946628,Entire home/apt,6,2.5,3.0,4.0,950.0,4.99,4.93
1436405678822839453,https://www.airbnb.com/rooms/1436405678822839453,Catete,-22.92929,-43.17998,Entire home/apt,4,1.0,1.0,2.0,160.0,,
814557994825604885,https://www.airbnb.com/rooms/814557994825604885,Copacabana,-22.98142882032162,-43.190344596323534,Entire home/apt,2,1.0,1.0,1.0,120.0,4.4,4.8
757321882357427321,https://www.airbnb.com/rooms/757321882357427321,Leblon,-22.981763,-43.2222085,Entire home/apt,4,2.0,3.0,5.0,1052.0,4.9,4.8
1221142918395834592,https://www.airbnb.com/rooms/1221142918395834592,Recreio dos Bandeirantes,-23.01807691351865,-43.45501311819178,Private room,2,1.0,1.0,2.0,280.0,5.0,5.0
53520481,https://www.airbnb.com/rooms/53520481,Copacabana,-22.9861,-43.19169,Private room,2,1.0,1.0,1.0,230.0,4.86,4.71
1429850091271945020,https://www.airbnb.com/rooms/1429850091271945020,Barra da Tijuca,-23.004765529701665,-43.33413031889582,Entire home/apt,10,3.5,4.0,4.0,1067.0,,
32518987,https://www.airbnb.com/rooms/32518987,Ipanema,-22.9833,-43.20809,Private room,2,1.0,1.0,1.0,246.0,4.98,4.93
794943118184108966,https://www.airbnb.com/rooms/794943118184108966,Santo Cristo,-22.902837351859127,-43.20428730592797,Entire home/apt,3,1.0,1.0,1.0,159.0,3.17,3.17
1421157816177775364,https://www.airbnb.com/rooms/1421157816177775364,Leblon,-22.98621,-43.219,Entire home/apt,4,2.0,2.0,2.0,406.0,4.67,5.0
